step,active_loss,null_loss
-2.0,16.165729270561467,0.004925250460957958
-1.975,15.7642342956871,0.004925250460957958
-1.95,15.367789572069,0.004925250460957958
-1.925,14.976395099707196,0.004925250460957958
-1.9,14.590050878601666,0.004925250460957958
-1.875,14.20875690875242,0.004925250460957958
-1.85,13.832513190159458,0.004925250460957958
-1.825,13.461319722822768,0.004925250460957958
-1.8,13.09517650674237,0.004925250460957958
-1.775,12.734083541918249,0.004925250460957958
-1.75,12.37804082835041,0.004925250460957958
-1.725,12.027048366038855,0.004925250460957958
-1.7,11.681106154983572,0.004925250460957958
-1.675,11.34021419518458,0.004925250460957958
-1.65,11.004372486641866,0.004925250460957958
-1.625,10.673581029355434,0.004925250460957958
-1.6,10.347839823325288,0.004925250460957958
-1.575,10.02714886855141,0.004925250460957958
-1.55,9.711508165033825,0.004925250460957958
-1.525,9.400917712772518,0.004925250460957958
-1.5,9.095377511767493,0.004925250460957958
-1.475,8.794887562018753,0.004925250460957958
-1.45,8.499447863526289,0.004925250460957958
-1.4249999999999998,8.209058416290103,0.004925250460957958
-1.4,7.923719220310207,0.004925250460957958
-1.375,7.643430275586587,0.004925250460957958
-1.35,7.368191582119254,0.004925250460957958
-1.325,7.098003139908197,0.004925250460957958
-1.2999999999999998,6.83286494895342,0.004925250460957958
-1.275,6.57277700925493,0.004925250460957958
-1.25,6.317739320812718,0.004925250460957958
-1.225,6.067751883626791,0.004925250460957958
-1.2,5.822814697697139,0.004925250460957958
-1.1749999999999998,5.582927763023773,0.004925250460957958
-1.15,5.3480910796066885,0.004925250460957958
-1.125,5.118304647445884,0.004925250460957958
-1.1,4.893568466541362,0.004925250460957958
-1.075,4.673882536893119,0.004925250460957958
-1.0499999999999998,4.459246858501159,0.004925250460957958
-1.025,4.249661431365481,0.004925250460957958
-1.0,4.0451262554860845,0.004925250460957958
-0.9749999999999999,3.8456413308629673,0.004925250460957958
-0.95,3.651206657496135,0.004925250460957958
-0.925,3.4618222353855828,0.004925250460957958
-0.8999999999999999,3.27748806453131,0.004925250460957958
-0.875,3.098204144933321,0.004925250460957958
-0.8499999999999999,2.9239704765916117,0.004925250460957958
-0.825,2.754787059506185,0.004925250460957958
-0.7999999999999998,2.590653893677038,0.004925250460957958
-0.7749999999999999,2.431570979104174,0.004925250460957958
-0.75,2.2775383157875915,0.004925250460957958
-0.7249999999999999,2.12855590372729,0.004925250460957958
