method,epoch,data_loss,objective
none,0,29.549442035600865,29.549442035600865
none,50,3.17866126254999e-14,3.17866126254999e-14
none,100,2.785473922972588e-26,2.785473922972588e-26
none,150,1.4595962514725246e-31,1.4595962514725246e-31
none,200,0.0,0.0
none,250,0.0,0.0
none,300,0.0,0.0
none,350,0.0,0.0
none,400,0.0,0.0
none,450,0.0,0.0
none,500,0.0,0.0
none,550,0.0,0.0
none,600,0.0,0.0
none,650,0.0,0.0
none,700,0.0,0.0
none,750,0.0,0.0
none,800,0.0,0.0
none,850,0.0,0.0
none,900,0.0,0.0
none,950,0.0,0.0
none,1000,0.0,0.0
none,1050,0.0,0.0
none,1100,0.0,0.0
none,1150,0.0,0.0
none,1200,0.0,0.0
none,1250,0.0,0.0
none,1300,0.0,0.0
none,1350,0.0,0.0
none,1400,0.0,0.0
none,1450,0.0,0.0
none,1500,0.0,0.0
none,1550,0.0,0.0
none,1600,0.0,0.0
none,1650,0.0,0.0
none,1700,0.0,0.0
none,1750,0.0,0.0
none,1800,0.0,0.0
none,1850,0.0,0.0
none,1900,0.0,0.0
none,1950,0.0,0.0
none,2000,0.0,0.0
none,2050,0.0,0.0
none,2100,0.0,0.0
none,2150,0.0,0.0
none,2200,0.0,0.0
none,2250,0.0,0.0
none,2300,0.0,0.0
none,2350,0.0,0.0
none,2400,0.0,0.0
none,2450,0.0,0.0
none,2500,0.0,0.0
none,2550,0.0,0.0
none,2600,0.0,0.0
none,2650,0.0,0.0
none,2700,0.0,0.0
none,2750,0.0,0.0
none,2800,0.0,0.0
none,2850,0.0,0.0
none,2900,0.0,0.0
none,2950,0.0,0.0
none,3000,0.0,0.0
none,3050,0.0,0.0
none,3100,0.0,0.0
none,3150,0.0,0.0
none,3200,0.0,0.0
none,3250,0.0,0.0
none,3300,0.0,0.0
none,3350,0.0,0.0
none,3400,0.0,0.0
none,3450,0.0,0.0
none,3500,0.0,0.0
none,3550,0.0,0.0
none,3600,0.0,0.0
none,3650,0.0,0.0
none,3700,0.0,0.0
none,3750,0.0,0.0
none,3800,0.0,0.0
none,3850,0.0,0.0
none,3900,0.0,0.0
none,3950,0.0,0.0
none,4000,0.0,0.0
none,4050,0.0,0.0
none,4100,0.0,0.0
none,4150,0.0,0.0
none,4200,0.0,0.0
none,4250,0.0,0.0
none,4300,0.0,0.0
none,4350,0.0,0.0
none,4400,0.0,0.0
none,4450,0.0,0.0
none,4500,0.0,0.0
none,4550,0.0,0.0
none,4600,0.0,0.0
none,4650,0.0,0.0
none,4700,0.0,0.0
none,4750,0.0,0.0
none,4800,0.0,0.0
none,4850,0.0,0.0
none,4900,0.0,0.0
none,4950,0.0,0.0
none,5000,0.0,0.0
lasso,0,29.549442035600865,31.21076152550867
lasso,50,0.0003821798431166904,1.0777411781838895
lasso,100,0.0003801791057740342,0.7398192804540673
lasso,150,0.0019647488981350603,0.41590730896366296
lasso,200,0.013309694551311988,0.3545749481984436
lasso,250,0.013425221745959845,0.3545745976484072
lasso,300,0.013425402069922609,0.35457459764754934
lasso,350,0.013425402352008745,0.35457459764754934
lasso,400,0.013425402352450027,0.3545745976475494
lasso,450,0.013425402352450632,0.35457459764754934
lasso,500,0.013425402352450632,0.35457459764754934
lasso,550,0.013425402352450632,0.35457459764754934
lasso,600,0.013425402352450632,0.35457459764754934
lasso,650,0.013425402352450632,0.35457459764754934
lasso,700,0.013425402352450632,0.35457459764754934
lasso,750,0.013425402352450632,0.35457459764754934
lasso,800,0.013425402352450632,0.35457459764754934
lasso,850,0.013425402352450632,0.35457459764754934
lasso,900,0.013425402352450632,0.35457459764754934
lasso,950,0.013425402352450632,0.35457459764754934
lasso,1000,0.013425402352450632,0.35457459764754934
lasso,1050,0.013425402352450632,0.35457459764754934
lasso,1100,0.013425402352450632,0.35457459764754934
lasso,1150,0.013425402352450632,0.35457459764754934
lasso,1200,0.013425402352450632,0.35457459764754934
lasso,1250,0.013425402352450632,0.35457459764754934
lasso,1300,0.013425402352450632,0.35457459764754934
lasso,1350,0.013425402352450632,0.35457459764754934
lasso,1400,0.013425402352450632,0.35457459764754934
lasso,1450,0.013425402352450632,0.35457459764754934
lasso,1500,0.013425402352450632,0.35457459764754934
lasso,1550,0.013425402352450632,0.35457459764754934
lasso,1600,0.013425402352450632,0.35457459764754934
lasso,1650,0.013425402352450632,0.35457459764754934
lasso,1700,0.013425402352450632,0.35457459764754934
lasso,1750,0.013425402352450632,0.35457459764754934
lasso,1800,0.013425402352450632,0.35457459764754934
lasso,1850,0.013425402352450632,0.35457459764754934
lasso,1900,0.013425402352450632,0.35457459764754934
lasso,1950,0.013425402352450632,0.35457459764754934
lasso,2000,0.013425402352450632,0.35457459764754934
lasso,2050,0.013425402352450632,0.35457459764754934
lasso,2100,0.013425402352450632,0.35457459764754934
lasso,2150,0.013425402352450632,0.35457459764754934
lasso,2200,0.013425402352450632,0.35457459764754934
lasso,2250,0.013425402352450632,0.35457459764754934
lasso,2300,0.013425402352450632,0.35457459764754934
lasso,2350,0.013425402352450632,0.35457459764754934
lasso,2400,0.013425402352450632,0.35457459764754934
lasso,2450,0.013425402352450632,0.35457459764754934
