method,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,nonzero_count,aggregate_linear,aggregate_quadratic
none,1.178395863698421,0.7105560257268452,1.3644210678205735,-0.8053101056455837,0.0395595427944071,-0.9876223943946633,-0.01926456063865681,0.7217823967489453,-1.5098971087728328,0.6956003432897139,0.18052833695727408,-0.8687494075844436,11,1.5,-0.8
lasso,0.5543362212333873,0.08649638326181407,0.740361425355545,0.0,0.0,0.0,-4.336808689942018e-18,-4.336808689942018e-18,-0.696068070966008,-4.336808689942018e-18,-4.336808689942018e-18,-0.05492036977761254,5,1.3811940298507464,-0.7509884407436206
ridge,0.24755476293052264,0.24755192958491126,0.24755588954192437,0.2475427491511347,0.24754786587595407,0.24754164502600173,-0.1327902847758343,-0.1327857968250999,-0.13279931238923012,-0.1327859553896346,-0.1327890747841157,-0.13279542945135714,12,1.4852948421104488,-0.7967458536152717
